opening,C00,C45,B01,C02,C41,B21,D00,A00,B22,A40,B00,C01,C40,C42,C50,B13,C20,C47,C10,B06,D30,B07,B10,B12,D02,C07,A03,A22,B02,C25,A06,C44,D35,A01,B14,C55,D04,D31,A20,C53,D37,A45,C22,A43,B03,C05,A04,A08,A46,B09,B20,B40,C24,C46,C51,D08,D53,A05,A09,A13,A48,A51,A56,B23,B45,C11,C21,C23,C26,C34,C43,C48,C64,C68,C69,C85,D06,D07,D11,E00,E61
games,185.0,183.0,98.0,68.0,67.0,53.0,53.0,44.0,38.0,37.0,34.0,30.0,30.0,29.0,28.0,25.0,25.0,25.0,18.0,16.0,16.0,15.0,12.0,12.0,12.0,11.0,8.0,8.0,8.0,8.0,7.0,7.0,7.0,6.0,6.0,6.0,6.0,6.0,5.0,5.0,5.0,4.0,4.0,3.0,3.0,3.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
elo,1144.0,1138.0,954.0,1257.0,1208.0,1192.0,1020.0,1062.0,963.0,1173.0,1175.0,1122.0,1029.0,952.0,1118.0,1299.0,893.0,1116.0,1157.0,1047.0,1138.0,1000.0,989.0,1040.0,1112.0,1133.0,1156.0,1344.0,1085.0,867.0,944.0,933.0,1089.0,1197.0,1078.0,1249.0,1033.0,993.0,1103.0,1384.0,1040.0,452.0,987.0,1052.0,1030.0,1114.0,1468.0,1541.0,903.0,621.0,571.0,938.0,816.0,625.0,1069.0,932.0,1154.0,1210.0,1415.0,925.0,740.0,1349.0,1216.0,1485.0,880.0,707.0,1205.0,585.0,1227.0,624.0,1362.0,618.0,772.0,376.0,1324.0,920.0,944.0,469.0,1322.0,533.0,815.0
score,0.4972972972972973,0.5846994535519126,0.5204081632653061,0.5955882352941176,0.6417910447761194,0.5094339622641509,0.4811320754716981,0.5340909090909091,0.42105263157894735,0.5540540540540541,0.7058823529411765,0.48333333333333334,0.48333333333333334,0.39655172413793105,0.6071428571428571,0.64,0.4,0.58,0.4444444444444444,0.40625,0.5625,0.3333333333333333,0.5,0.4166666666666667,0.5833333333333334,0.45454545454545453,0.625,0.75,0.5,0.4375,0.5,0.42857142857142855,0.5,0.5,0.3333333333333333,0.5,0.5,0.5,0.4,0.8,0.4,0.0,0.625,0.5,0.3333333333333333,0.3333333333333333,1.0,1.0,0.5,0.0,0.0,0.25,0.5,0.0,0.5,0.5,0.5,1.0,1.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,1.0,0.5,0.0,0.0,1.0,0.0,0.0
white_win_percent,0.625,0.5808383233532934,0.46153846153846156,0.5,0.6461538461538462,0.5094339622641509,,0.0,0.4166666666666667,1.0,0.71875,0.3333333333333333,0.4827586206896552,0.4166666666666667,0.6666666666666666,0.6521739130434783,0.42857142857142855,0.8,0.25,0.4,,0.3076923076923077,0.5,0.36363636363636365,,0.45454545454545453,,,0.5,0.0,0.0,0.6,,,0.3333333333333333,0.5,,,,0.6666666666666666,,,,,0.3333333333333333,0.3333333333333333,,,,0.0,0.0,0.0,1.0,,,,,,,,,,,1.0,0.0,,,,,,,,,,,,,,1.0,,
black_win_percent,0.47770700636942676,0.6666666666666666,0.5636363636363636,0.6,,,0.48,0.5476190476190477,,0.5428571428571428,0.5,0.5,,0.0,0.5909090909090909,,0.3888888888888889,0.2222222222222222,0.5,,0.5625,,,1.0,0.5833333333333334,,0.6666666666666666,0.75,,0.6,0.6,0.0,0.5,0.5,,,0.5,0.5,0.4,1.0,0.4,0.0,0.6666666666666666,0.5,,,1.0,1.0,0.5,,0.0,,0.0,0.0,0.5,0.5,0.5,1.0,1.0,0.0,0.0,1.0,1.0,,,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,1.0,,0.0,0.0,,0.0,0.0
avg_cp_loss/game,1.1970300508256482,1.5770398848497065,1.5310548766679668,1.0345494829070325,1.3180091416930948,1.7121641192782122,1.4815975774148025,1.1536679183144836,1.0784881975471132,1.1984421119975017,1.5301366071398919,1.217771824304528,1.5639955638501362,1.6645177906252273,1.2592224190816235,1.20444331895211,1.57216174313174,1.463873032695898,0.7494060443544617,1.111237663321868,0.9210843980054787,1.4003196587323106,1.2223124979917743,1.3622123277337856,1.9304701035485445,1.1147881776600252,1.9693683935969946,0.6561645171957673,1.240464044244286,1.832825192363496,1.0239489330430283,2.1110285319838895,1.3577259237028143,1.0513885975135975,0.6735807775610102,0.8657786246530303,1.1688876748251749,0.9315691968780353,1.2653544259661906,1.1234586827059494,1.3288281226053642,1.4164376262626261,0.642819281811085,1.2953318713450293,0.9466043956043956,1.1829791154791156,1.0229370629370629,0.5427739130434782,0.9123611111111112,1.2943421052631578,1.5686434108527132,0.6440162907268171,1.241116306253653,1.8285531914893616,1.3989201451905626,0.9720285087719298,0.7770751633986928,0.5961538461538461,0.8647368421052631,1.5071428571428571,3.543061224489796,0.8438181818181818,1.3863333333333332,0.79,0.5658333333333334,0.32719298245614037,0.9218918918918919,5.77025,1.4934285714285715,1.21625,0.7951999999999999,1.5055,1.1987999999999999,0.6861111111111111,0.2490909090909091,3.1340816326530616,2.224,0.7116666666666667,1.2732558139534884,1.7161538461538461,1.1933333333333334
inaccuracies/game,1.7081081081081082,2.2076502732240435,1.9387755102040816,1.7352941176470589,1.8507462686567164,1.8679245283018868,2.2264150943396226,2.3181818181818183,2.0526315789473686,2.4324324324324325,2.735294117647059,1.8666666666666667,2.466666666666667,1.9655172413793103,1.7142857142857142,1.64,2.08,1.72,1.8333333333333333,1.375,1.5,1.9333333333333333,1.6666666666666667,2.3333333333333335,2.5,1.6363636363636365,1.375,1.625,2.0,2.0,2.7142857142857144,2.0,1.5714285714285714,2.0,2.0,1.0,0.6666666666666666,1.1666666666666667,2.4,1.2,2.2,1.5,2.5,2.3333333333333335,4.666666666666667,2.0,1.0,0.5,1.0,2.0,0.5,2.5,3.0,0.5,1.5,2.0,0.5,1.0,4.0,2.0,3.0,3.0,3.0,1.0,1.0,3.0,2.0,8.0,4.0,4.0,2.0,1.0,0.0,6.0,3.0,2.0,0.0,3.0,6.0,0.0,0.0
mistakes/game,3.081081081081081,3.480874316939891,3.2244897959183674,3.264705882352941,3.343283582089552,2.830188679245283,3.2641509433962264,2.9545454545454546,4.105263157894737,3.108108108108108,3.264705882352941,3.8666666666666667,4.1,3.9310344827586206,2.607142857142857,2.92,4.8,2.36,3.388888888888889,3.5,2.3125,4.0,3.4166666666666665,4.166666666666667,4.333333333333333,2.8181818181818183,3.75,3.75,2.125,4.125,3.142857142857143,3.857142857142857,2.5714285714285716,3.5,3.1666666666666665,3.0,1.6666666666666667,1.6666666666666667,3.2,1.4,2.8,3.5,2.75,5.666666666666667,3.6666666666666665,3.6666666666666665,4.0,3.5,3.0,3.5,3.0,1.5,4.5,6.0,3.0,5.0,7.0,1.0,2.0,1.0,4.0,2.0,5.0,6.0,4.0,3.0,4.0,9.0,3.0,8.0,2.0,4.0,7.0,7.0,0.0,2.0,0.0,0.0,4.0,0.0,0.0
blunders/game,1.962162162162162,2.5901639344262297,2.2551020408163267,1.5147058823529411,2.4029850746268657,2.3773584905660377,2.3207547169811322,1.8863636363636365,1.868421052631579,2.108108108108108,2.588235294117647,2.1666666666666665,2.533333333333333,2.896551724137931,2.4285714285714284,1.84,2.72,2.24,1.5,1.625,1.4375,2.2,1.6666666666666667,2.3333333333333335,2.5,2.090909090909091,2.125,0.875,2.25,3.5,3.142857142857143,2.7142857142857144,1.8571428571428572,1.8333333333333333,0.8333333333333334,1.5,1.6666666666666667,2.6666666666666665,1.8,1.0,2.6,2.5,1.25,1.6666666666666667,2.0,1.3333333333333333,1.0,0.0,1.0,4.0,3.0,1.0,4.0,2.0,2.0,0.5,0.5,1.0,1.0,1.0,3.0,3.0,3.0,1.0,0.0,0.0,3.0,6.0,5.0,1.0,2.0,2.0,2.0,2.0,0.0,7.0,3.0,0.0,5.0,2.0,2.0
